Reason for Credit Entry,Sub Order No,Order Date,Customer State,Product Name,SKU,Size,Quantity,Supplier Listed Price (Incl. GST + Commission),Supplier Discounted Price (Incl GST and Commision)
RTO_COMPLETE,543476848618_1,28-08-2022,Maharashtra,top & bottom set,akshar 1090,M,1,1368,1368
CANCELLED,929601676893_1,28-08-2022,Maharashtra,Stylish navratri wear gown,Hk1464,XXL,1,1500,1350
CANCELLED,878338919487_1,29-08-2022,Jharkhand,Dupatta Sets,Hk1436,XL,1,1400,1400
DELIVERED,755828660648_1,29-08-2022,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
RTO_COMPLETE,781373357372_1,29-08-2022,Bihar,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XL,1,1261,1261
CANCELLED,555002867665_1,29-08-2022,Rajasthan,Stylish designer digital printed work lehenga choli with duppata ,1502318399,Semi Stitched,1,1500,1500
RTO_COMPLETE,703072596386_1,29-08-2022,Uttar Pradesh,Fancy organza dress with kamar belt and hairbelt,Kd1166,M,1,1184,1184
DELIVERED,460748174495_1,30-08-2022,Uttar Pradesh,top & bottom set,akshar 1090,M,1,1400,1400
RTO_COMPLETE,355746559602_1,30-08-2022,Andhra Pradesh,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XL,1,1500,1500
DELIVERED,658416003246_1,30-08-2022,Chhattisgarh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,271046524562_1,30-08-2022,Delhi,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400,1400
DELIVERED,381809810413_1,30-08-2022,Jammu & Kashmir,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400,1400
DELIVERED,710010425387_1,30-08-2022,Maharashtra,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400,1400
CANCELLED,338379679888_1,30-08-2022,Maharashtra,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400,1400
DELIVERED,796423327995_1,30-08-2022,Chhattisgarh,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1368,1368
DELIVERED,571369750119_1,30-08-2022,Punjab,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400,1400
DELIVERED,652915591650_1,30-08-2022,Kerala,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400,1400
DELIVERED,922552445432_1,30-08-2022,Uttarakhand,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1368,1368
CANCELLED,330275002150_1,30-08-2022,Tamil Nadu,Fancy embroidery sequence work gown with dupatta ,Dhk1094,XL,1,1461,1461
DELIVERED,910483967612_1,30-08-2022,Assam,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,355129275575_1,30-08-2022,India,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1368,1368
DELIVERED,624159941368_1,31-08-2022,Odisha,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300,1300
RTO_COMPLETE,469860092115_1,31-08-2022,Maharashtra,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XL,1,1300,1300
DELIVERED,507323371165_1,31-08-2022,Karnataka,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1949,1949
CANCELLED,548021683292_1,31-08-2022,Kerala,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XL,1,1500,1500
RTO_COMPLETE,717468980947_1,31-08-2022,Haryana,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400,1400
RTO_COMPLETE,182637707929_1,31-08-2022,Jharkhand,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1368,1368
RTO_COMPLETE,765196624540_1,31-08-2022,Rajasthan,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1949,1949
CANCELLED,694787246193_1,31-08-2022,Telangana,Stylish navratri wear lehnga choli, Dhk1121,Semi Stitched,1,1200,1200
DELIVERED,653631357267_1,31-08-2022,Haryana,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1949,1949
CANCELLED,812064549286_1,31-08-2022,West Bengal,top & bottom set,akshar 1090,XXL,1,1400,1400
